COUNTRY,Fragile States Index,"Women, Peace, and Security Index",Poverty Rate(2010-2020),Infant Mortality,Unemployment Rate(2000-2020),Violent Crime Index Rate(2022),Suicide Rate(2022),Incarceration Rate(2022),Global Rate Depression(2022),Global Alcoholism rate(2019),Global Drug Rate(2019)
Afghanistan,69.2,0.373,54.5,44.97,11.7,6.66,4.1,77,3.3,0.44,0.52
Albania,35.2,0.759,14.3,8.76,11.7,2.29,4.3,179,4.8,1.79,0.49
Algeria,48.2,0.611,5.5,19.46,13.6,1.36,2.5,153,4.5,0.43,0.49
Angola,58.5,0.626,32.3,48.34,9.6,4.85,6.1,89,3.6,1.1,0.36
Antigua and Barbuda,33.8,,,5.38,8.4,11.06,0.4,216,5.1,5.1,0.83
Argentina,32.3,0.775,35.5,7.61,11.5,5.32,8.4,243,4.7,2.28,0.74
Armenia,45.8,0.72,26.4,9.74,18.3,1.69,3.3,72,5,2.14,0.55
Australia,16.2,0.844,12.4,3.14,6.5,,12.5,167,5.9,2.05,2.4
Austria,17.2,0.884,13.3,2.97,5.4,0.97,14.6,91,5.1,2.76,1.16
Azerbaijan,53.1,0.65,6,17.32,4.8,2.2,4.1,210,4.6,2.79,0.48
Bahamas,33.9,,,10.53,10,31.96,3.5,392,5.2,1.97,0.97
Bahrain,46.7,0.719,,5.79,1.2,0.52,8.9,234,4.8,0.5,0.43
Bangladesh,57.5,0.612,24.3,24.32,4.4,2.37,3.7,48,4.1,1.16,0.37
Barbados,26.6,0.715,,11.38,8.4,9.77,0.6,296,5.4,1.33,1.11
Belarus,46.3,0.804,5,2.19,4.1,2.39,21.2,345,5.6,2.76,0.92
Belgium,17.4,0.827,14.8,3.44,5.5,1.69,18.3,93,4.8,2.52,1.17
Belize,42.3,0.716,,10.03,9.1,37.79,7.1,258,4.4,1.59,0.88
Benin,44.7,0.659,38.5,56.54,1.5,1.13,7.8,73,3.9,0.56,0.35
Bhutan,45,0.657,8.2,23.18,2.5,1.19,4.6,145,4.2,1.22,0.99
Bolivia,46.1,0.765,37.2,20.72,7.9,6.22,6.2,157,4.4,1,0.8
Bosnia and Herzegovina,47.2,0.76,16.9,4.95,15.9,1.17,10.9,83,5.1,2.14,0.4
Botswana,35.4,0.667,19.3,36.08,24.9,15.25,16.1,162,4.7,2.04,0.61
Brazil,52,0.7,26.5,13.13,13.7,27.38,6.9,381,5.8,2.96,1.11
Brunei,34.5,,,9.64,,,2.7,186,,0.98,0.86
Bulgaria,32.3,0.801,23.8,5.14,5.1,1.3,9.7,93,5.2,1.95,0.72
Burkina Faso,57.5,0.622,41.4,52.82,4.7,1.25,7.5,37,3.6,0.56,0.27
Burundi,67.3,0.616,64.9,38.64,,6.05,6.2,86,4.2,1.44,0.34
Cambodia,54.3,,17.7,22.05,1.2,1.84,4.9,233,3.4,0.79,0.44
Cameroon,66.2,0.694,37.5,48.34,3.5,1.39,9,85,3.9,0.58,0.47
Canada,13.8,0.876,11.6,4.38,9.5,1.76,11.8,104,4.7,1.97,2.72
Central African Republic,72.6,0.513,62,77.5,,20.12,12.3,16,4.2,1.12,0.34
Chad,71.1,0.553,42.3,67.4,1.1,,6.4,59,3.5,0.51,0.29
Chile,29.2,0.764,8.6,5.77,11.2,4.4,9,212,5,2.86,1.22
China,48.3,0.725,0.6,5.47,5.2,0.53,8.1,119,4.2,1.28,0.69
Colombia,54.3,0.691,35.7,11.35,15,25.34,3.9,193,4.7,2.23,0.92
Comoros,52.8,0.632,42.4,47.23,8.1,,5.4,37,4.4,1.31,0.35
Costa Rica,25.3,0.779,21,6.73,17.4,11.26,8.1,298,4.7,1.93,0.62
Croatia,31.2,0.818,18.3,3.87,7.5,0.58,16.6,98,5.1,2.28,0.85
Cuba,38,,,4.08,1.7,5.05,14.5,510,5.5,1.53,0.81
Cyprus,35.5,0.819,14.7,2.25,7.6,1.26,3.6,80,5.1,1.8,0.67
Czech Republic,24.3,0.82,10.1,2.32,2.5,0.62,,177,5.2,2.43,1.23
Denmark,13.2,0.891,12.5,3.13,5.6,,10.9,71,5,3.04,1.1
Djibouti,56.4,0.604,21.1,47.18,26.1,,9.6,71,5.1,,
Dominican Republic,41.9,0.726,21,27.87,6.1,10.05,4.9,239,4.7,2.03,1.04
DR Congo,75.1,0.512,63.9,63.79,4.5,,6.7,29,3.8,1.18,0.41
Ecuador,46.1,0.772,25,11.15,6.1,5.8,7.6,224,,1.01,0.65
Egypt,58.3,0.583,32.5,16.65,7.8,2.55,3,118,3.5,0.41,0.35
El Salvador,46.9,0.725,22.8,11.08,0.1,52.02,6.1,564,4.4,3.73,0.37
Equatorial Guinea,57.4,0.626,76.8,58.28,25,,7.9,63,4.2,1.19,0.43
Eritrea,64,,69,29.69,,,10.9,,4.3,1.71,0.38
Estonia,23.5,0.873,21.7,1.65,6.8,2.12,14.9,168,5.9,1.86,1.69
Eswatini,51.5,0.613,58.9,37.42,22.7,,29.4,277,4.2,2.28,0.7
Ethiopia,70.6,0.651,23.5,35.37,2.3,8.79,5.4,99,4.7,2.65,0.34
Fiji,42.1,0.757,29.9,23.03,4.3,2.31,9,274,3.5,0.62,0.71
Finland,9.4,0.891,12.2,1.88,7.8,1.63,15.3,50,5.6,2.49,1.13
France,21.3,0.847,13.6,3.45,8,1.2,13.8,119,4.8,2.24,1.25
Gabon,42.6,0.647,33.4,30.69,20.4,,8.4,241,4.3,1.5,0.9
Gambia,51.4,0.638,48.6,34.74,10.2,3.9,4.8,23,,0.53,0.36
Georgia,47.9,0.77,19.5,8.23,18.5,2.22,9.2,253,5,2.37,0.52
Germany,16.2,0.856,14.8,3.1,3.8,0.95,12.3,70,5.2,2.22,1.07
Ghana,39.4,0.724,23.4,33.02,4.2,2.09,6.6,42,4.2,0.56,0.53
Greece,37.6,0.77,17.9,3.58,16.3,0.94,5.1,103,5.7,1.8,0.67
Grenada,31.8,,,14.53,22.9,10.82,0.7,413,4.7,1.53,0.94
Guatemala,53.1,0.68,59.3,20.06,2.2,22.5,5.9,,3.7,3.4,0.38
Guinea,65.5,0.625,43.7,61.99,5,0,7,30,3.9,0.51,0.27
Guinea-Bissau,58.6,,69.3,51.4,,1.15,7,,4,0.55,0.3
Guyana,43.6,0.741,,23.78,3.2,14.25,40.3,239,4.5,1.93,0.69
Haiti,61.7,0.613,58.5,46.66,14.1,6.68,9.6,100,4.3,1.46,0.62
Honduras,52.4,0.708,48.3,13.94,11,38.93,2.1,234,4,2.32,0.51
Hong Kong,,0.731,,,5.8,0.65,,96,,,
Hungary,33.9,0.772,12.3,3.36,4.3,2.49,16.6,172,5.1,2.38,0.72
Iceland,9.6,0.888,8.8,1.54,5.5,,11.9,29,4.1,2.31,1.11
India,51,0.625,21.9,27.01,4.7,3.08,12.7,35,4.5,1.18,0.52
Indonesia,45.1,0.703,9.4,19.55,4.3,0.43,2.4,97,3.7,0.51,0.48
Iran,57.1,0.657,,11.14,9.7,2.5,5.2,228,4.9,0.32,0.77
Iraq,67.1,0.49,18.9,21.32,13,10.07,3.6,145,3.7,0.42,0.37
Ireland,13.6,0.858,13.1,2.62,5.6,0.89,9.6,75,4.8,3.54,1.35
Israel,27.9,0.815,16.9,2.9,4.3,1.49,5.3,234,4.6,0.95,0.86
Italy,29.9,0.826,20.1,2.47,9.2,0.57,6.7,91,5.1,1.61,1.01
Ivory Coast,60.4,0.617,39.5,57.88,3.3,,8.9,82,3.8,,
Jamaica,36.9,0.787,19.9,11.43,6.5,43.85,2.4,130,4.8,1.1,1.05
Japan,21.1,0.823,15.7,1.82,2.8,0.26,15.3,37,4.2,0.65,0.85
Jordan,53.1,0.629,15.7,12.92,16.8,1.36,1.6,174,4,0.43,0.45
Kazakhstan,40.7,0.786,4.3,8.92,4.9,5.06,17.6,177,4.4,3.75,0.81
Kenya,60.2,0.7,36.1,31.15,5,4.93,6.1,81,4.4,0.74,0.33
Kiribati,,,21.8,39.21,8.6,7.52,28.3,113,3.1,0.59,0.68
Kuwait,35.2,0.701,,7.58,2.2,1.82,2.9,111,5,0.41,0.48
Kyrgyzstan,49.4,0.721,20.1,15.67,4.5,2.19,7.4,161,4.1,3.16,0.55
Laos,50.5,0.724,18.3,35.34,9.4,,5.4,130,3.2,0.87,0.48
Latvia,27,0.845,22.9,3.44,8.1,4.36,20.1,165,4.9,2.3,1.27
Lebanon,58.8,0.599,27.4,5.97,11.3,2.49,2.8,98,4.7,0.43,0.76
Lesotho,46.1,0.641,49.7,69.88,22.4,43.56,72.4,92,4.8,2.23,0.62
Liberia,58.3,0.608,50.9,58.15,3.1,3.26,4.5,51,3.5,0.52,0.41
Libya,67,0.546,,9.53,19,,4.5,,4.5,0.44,0.86
Liechtenstein,,,,,2,2.64,,31,,,
Lithuania,22.7,0.835,20.6,2.68,8.5,4.57,26.1,184,5.6,2.19,0.86
Luxembourg,12.1,0.88,17.5,2.28,6.8,0.34,11.3,86,5,2.51,1.34
Madagascar,49.3,0.622,70.7,36.26,1.8,0,5.5,99,4.4,1.38,0.35
Malawi,52.3,0.626,51.5,29.02,1.3,1.81,5.4,71,4.1,1.52,0.35
Malaysia,38.2,0.729,5.6,7.38,4.5,2.13,5.7,212,3.8,0.55,0.61
Maldives,44.6,0.671,8.2,5.52,5.3,0.72,2.7,333,3.7,0.71,0.56
